기준_년분기_코드,행정동_코드,행정동_코드_명,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,교육_지출_총금액,유흥_지출_총금액,여가_문화_지출_총금액,기타_지출_총금액,음식_지출_총금액,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20241,11410615,연희동,3383749,7,15913870000,680560000,87550000,79189000,13740023000,172328000,87304000,36015000,178595000,88559000,763747000,8568789,3925808,4642980,1070133,1913619,1374996,1371975,1180232,1657834,2310565,1858352,1028895,995092,1320201,1055684,1210262,1227978,1203656,1221437,1209834,1237853,1257768
20241,11410585,신촌동,3331768,7,8080535000,1177103000,116526000,4102000,1904417000,93168000,363261000,354374000,552864000,497458000,3017262000,10926135,4559509,6366628,1120488,4994454,1766413,1079282,911300,1054199,2218794,2028611,1500154,1567883,2243629,1367068,1520752,1555846,1582502,1582436,1583706,1595007,1505889
20241,11410565,충현동,3210231,7,1193459000,268374000,17514000,21065000,152019000,12000000,24523000,38618000,136489000,44954000,477903000,10756181,5070142,5686040,1162064,1674252,2160860,2155986,1710202,1892817,2153954,2369979,1674104,1684280,1771943,1101923,1614959,1681792,1703462,1670435,1583838,1254453,1247241
20241,11410555,북아현동,4172659,8,725939000,324240000,11856000,41580000,87551000,2976000,38163000,8126000,38907000,47452000,125088000,18451748,8999624,9452125,2140672,2694601,4032656,4113306,2836752,2633762,3892030,4154470,2866981,2848054,2763160,1927054,2820960,2978399,3052474,2967055,2832818,1940522,1859522
20241,11410520,천연동,4197718,8,855891000,382817000,16989000,10254000,68934000,9504000,48300000,14997000,37931000,12220000,253945000,3969494,1821717,2147777,638200,480707,560347,686047,675150,929042,1024419,831116,483358,468211,652966,509423,572064,580382,577958,576889,569902,547360,544938
20241,11380690,진관동,4070863,8,5258649000,582043000,792281000,36750000,1857348000,215576000,279352000,15078000,265730000,261356000,953135000,7077860,3179407,3898451,1835835,703379,793447,1250465,999891,1494842,2058437,1494676,757701,736642,1080532,949873,1000726,1003428,988393,1001185,992443,1030437,1061248
20241,11380650,수색동,3253972,7,292964000,46575000,6933000,33509000,25083000,86164000,19053000,2685000,7671000,7130000,58161000,2876248,1338989,1537258,387802,390705,567177,503065,461019,566480,832174,614254,302808,297903,444728,384379,407165,409476,403345,402796,401992,420561,430912
20241,11380640,증산동,2838450,6,878468000,193391000,28403000,47672000,93553000,238454000,48413000,6833000,47155000,24700000,149894000,3307447,1487028,1820417,464036,422138,519391,516040,541504,844337,969252,696067,344405,336967,513396,447359,470945,466627,458680,467245,461363,484872,497713
20241,11380632,신사2동,2635300,6,460331000,250382000,9432000,6159000,30627000,1204000,52567000,2541000,12048000,10750000,84621000,2867489,1354883,1512606,472787,340014,409210,453882,437862,753737,809223,614786,311748,306776,448259,376700,405392,400987,393141,401406,398068,424076,444417
20241,11380631,신사1동,2637581,6,1430914000,361522000,27306000,5021000,162201000,237400000,43508000,55820000,95353000,79859000,362924000,6446023,2901749,3544274,1008916,847981,971016,1053161,981599,1583350,1869809,1340282,670984,655297,1022879,886770,914319,901423,887468,898595,898893,958486,986839
20241,11380625,역촌동,2521877,6,2372982000,699553000,117050000,53887000,419137000,77544000,133818000,63232000,107526000,107534000,593701000,11870747,5314335,6556411,1929374,1557574,1728616,1947694,1886405,2821083,3304459,2424827,1294649,1302074,1950686,1594053,1677939,1662140,1641224,1660893,1664818,1765835,1797899
20241,11380600,응암3동,2360910,5,2377513000,930261000,81434000,16376000,259611000,102373000,57772000,158859000,78350000,78105000,614372000,8543272,3902832,4640440,1181908,1119834,1276822,1435861,1301567,2227281,2466218,1740194,911287,895217,1350541,1179816,1216677,1203895,1195295,1202311,1211590,1245706,1267799
20241,11380590,응암2동,3510245,7,637511000,217871000,8664000,5589000,69535000,77518000,104277000,11432000,22758000,31777000,88090000,4085490,1854967,2230522,866238,345423,634232,828849,555979,854769,1121913,834166,441463,444644,681361,561942,579025,569046,563137,570099,565290,608768,630126
20241,11380580,응암1동,2726133,6,2110098000,326520000,21339000,27627000,680744000,4681000,218026000,45582000,142586000,142241000,500752000,5496878,2426535,3070343,877420,688951,914096,1002998,797898,1215515,1637915,1118216,566824,566298,859633,747994,779522,778508,767671,772223,770136,805134,823685
20241,11380570,대조동,2535013,6,2650906000,562305000,62182000,52181000,773080000,14599000,84614000,74087000,218218000,103639000,706001000,11678663,5144193,6534470,1500889,1746008,2073502,1830335,1757582,2770349,3139048,2346593,1295477,1313852,1971147,1612544,1659733,1650050,1642086,1652029,1653077,1707536,1714156
20241,11380560,구산동,2602334,6,858063000,276920000,16070000,4567000,204091000,25340000,109819000,10564000,31953000,27562000,151177000,5336908,2348844,2988064,974769,648528,667225,817232,842977,1386176,1563906,1122181,566852,555610,806795,721565,758869,751419,742243,751265,748263,778360,806490
20241,11380552,갈현2동,2539257,6,2055307000,606688000,66258000,25985000,158715000,26123000,289611000,91033000,169541000,60713000,560640000,6163970,2762436,3401534,1115939,817450,802676,1027711,952069,1448125,1758746,1291077,662187,645301,972875,833784,876808,870097,855569,868477,869241,900435,923344
20241,11380551,갈현1동,2481200,6,1797816000,247325000,24542000,7275000,289313000,4156000,58760000,216305000,103527000,92907000,753706000,6223998,2872807,3351192,819165,1024763,955872,902253,954014,1567931,1516646,1243786,737478,760385,1130784,834918,883191,873101,867500,869238,886991,925398,918581
20241,11380530,불광2동,2396457,5,1511650000,520363000,25486000,25848000,261435000,147156000,53637000,25535000,39182000,52576000,360432000,5847532,2691252,3156282,786909,789231,825520,823616,963243,1659011,1715565,1229039,622197,596863,889220,794649,826951,826134,810433,820267,816794,857964,888988
20241,11380520,불광1동,3182963,7,2261267000,444356000,50816000,117447000,710059000,4604000,114990000,83888000,148097000,147781000,439229000,5127069,2294598,2832471,727516,628732,709718,767055,822962,1471085,1460905,1046779,550432,554288,819134,695531,723699,719738,707614,717438,721364,757637,779578
20241,11380510,녹번동,3055864,7,1655155000,431161000,11445000,26613000,251937000,138733000,89040000,42096000,76094000,44969000,543067000,6944826,3022941,3921886,896779,894690,1146428,1117368,1128857,1760703,2044840,1457537,735582,717918,1057039,931909,993599,989383,974406,982529,981321,1002837,1020750
20241,11350720,상계10동,3132098,7,315188000,101170000,7171000,26115000,38965000,3412000,30338000,637000,35159000,22806000,49415000,1980841,875613,1105227,326284,271830,295736,295726,321779,469487,511705,402174,231232,239600,341291,254839,278383,276735,275152,276880,278253,295632,299805
20241,11350710,상계9동,2955988,6,625651000,188251000,14905000,0,135594000,0,71174000,6936000,38331000,46824000,123636000,1878527,825640,1052887,392104,197626,266362,267789,276998,477649,534897,390903,201894,198410,297547,254877,271367,266722,264981,264872,263407,270436,276742
20241,11350700,상계8동,3153561,7,530084000,158034000,18075000,4700000,92190000,1980000,99918000,6156000,46398000,10586000,92047000,1012974,450872,562103,221028,97577,179880,162055,138562,213873,319270,211716,98676,93493,146080,143738,145955,144959,143228,144326,143068,144147,147289
20241,11350695,상계6?7동,3152836,7,4832269000,487997000,55396000,16511000,2437417000,2528000,357524000,137888000,343826000,339448000,653734000,6491745,2816335,3675411,1111889,896314,937790,993517,1060380,1491855,1478574,1296923,867227,888336,1155992,804696,927575,925309,937259,933734,937257,926723,903887
20241,11350670,상계5동,2481440,6,772472000,302684000,22038000,10372000,46113000,17268000,42220000,28282000,50998000,47703000,204794000,6469230,2923894,3545335,979496,751796,728941,895190,1113013,2000796,1755884,1322884,718649,727334,1081744,862734,920291,907399,892476,903241,908651,957432,979739
20241,11350665,상계3?4동,2644186,6,440773000,186908000,7038000,16032000,49881000,3082000,25046000,11151000,20134000,9998000,111503000,8561257,3978425,4582833,1247964,883892,931800,1292674,1552559,2652368,2264112,1785931,967561,976149,1453883,1113622,1200656,1187071,1171862,1183950,1183664,1295641,1338414
20241,11350640,상계2동,3122902,7,6449776000,667912000,124994000,38195000,728562000,158200000,129708000,355777000,2118414000,286732000,1841282000,10659895,4854806,5805088,1662479,1667120,1357326,1507127,1784617,2681228,2484131,2069660,1330794,1395115,2009319,1370875,1486479,1474423,1480899,1482369,1519603,1606955,1609165
20241,11350630,상계1동,3030316,7,3004176000,951586000,22812000,61829000,279361000,93102000,90506000,78019000,135539000,134678000,1156744000,7548700,3513692,4035008,1240399,799118,912714,1096182,1241209,2259077,2011831,1533825,875932,873985,1271626,981501,1062828,1048533,1036013,1048452,1055886,1134668,1162320
20241,11350625,중계2?3동,2936682,6,3321593000,2272260000,42143000,29780000,204689000,40632000,92859000,32849000,153307000,104058000,349016000,4294718,1912170,2382548,826963,462741,521361,702926,678039,1102687,1214231,904823,477031,465183,659488,573963,612149,610100,606078,606748,604042,618090,637512
20241,11350624,중계4동,3196660,7,1983574000,710441000,14283000,34176000,306493000,1348000,77633000,58560000,77044000,71735000,631861000,2991847,1378594,1613254,558008,333259,284864,430992,513210,871515,797936,600084,344872,345342,502220,401395,425385,423556,418893,423038,424438,437042,439494
20241,11350621,중계1동,4623227,8,1464739000,226735000,22818000,37658000,138240000,21122000,624129000,3808000,86827000,25020000,278382000,3820017,1748874,2071143,1236209,365125,291880,670075,587583,669147,1023687,768431,433533,449508,655107,489750,543116,547573,542521,546395,539745,551939,548726
20241,11350619,중계본동,4197248,8,2043679000,551671000,13828000,395000,181874000,106453000,673055000,13828000,129846000,85800000,286929000,4122434,1902238,2220196,1351148,393275,278986,750892,676246,671887,981641,802434,503581,547337,774034,513406,574409,581687,578648,582797,571950,618616,614328
20241,11350612,하계2동,3625940,7,226206000,112653000,7514000,1480000,1719000,1201000,37172000,1417000,18911000,6252000,37887000,2819564,1257083,1562482,486488,328247,359701,474072,470566,700488,801919,601310,303234,299583,438441,375079,402476,396305,393890,394444,392465,415735,424248
20241,11350611,하계1동,3611061,7,2380744000,1185574000,9753000,1441000,260969000,130102000,102935000,6260000,104570000,114795000,464345000,3734624,1741953,1992670,655776,536736,390153,544596,630853,976508,963856,796089,473159,455722,587247,458550,532732,534931,534322,531336,528662,528926,543714
20241,11350600,공릉2동,3394877,7,2849629000,774353000,17356000,16847000,244499000,220899000,183128000,96147000,428445000,135523000,732432000,8243905,3941348,4302558,1619190,1543001,1061067,1225555,1117913,1677178,2259568,1726897,925707,911470,1328123,1092141,1166134,1172558,1161028,1174479,1159679,1192816,1217212
20241,11350595,공릉1동,2786137,6,4459013000,1149433000,86947000,48804000,905082000,486802000,85574000,107069000,233472000,147064000,1208766000,11101265,5191146,5910120,1697269,2019459,1522037,1625051,1572532,2664919,2971903,2268194,1255076,1260131,1863223,1482741,1572725,1557937,1558494,1567318,1572054,1633371,1639366
20241,11350580,월계3동,3110675,7,2088391000,1628925000,15755000,2022000,64467000,342000,59902000,2417000,48776000,68745000,197040000,2623967,1200092,1423876,447658,280103,366734,407134,394631,727705,749172,556070,277777,276693,411275,352981,372096,367140,359236,367221,367150,391686,399439
20241,11350570,월계2동,2728093,6,642156000,226403000,4748000,2185000,66314000,0,158039000,22327000,12774000,28244000,121122000,3764218,1703648,2060569,708382,421430,436939,580789,565060,1051619,1253816,818644,357116,320943,485491,528206,541084,543809,526617,540094,530566,531070,550978
20241,11350560,월계1동,2777397,6,1833745000,431360000,13903000,2105000,223646000,75105000,50228000,93819000,140981000,94471000,708127000,4624573,2389463,2235110,765524,1011723,568920,646588,592585,1039236,1147985,940775,571906,576760,800711,586436,665798,664386,661463,661061,645593,663306,662965
20241,11320710,방학3동,2962092,6,674493000,150675000,8492000,377000,101004000,6537000,52278000,12402000,43114000,59808000,239806000,3430146,1583828,1846319,703324,305027,372801,502383,525734,1020878,1046126,718692,353655,332959,505362,473355,484766,484998,473481,482743,479847,500874,523437
20241,11320700,방학2동,2099146,5,758697000,340914000,9209000,9208000,122907000,67626000,22856000,8472000,18235000,17298000,141972000,3115427,1488345,1627084,395930,305971,344109,441352,558738,1069328,835745,627348,355309,358525,521631,416872,442385,435458,429641,433090,436430,465579,472846
20241,11320690,방학1동,2895702,6,3184849000,1427811000,48505000,45767000,312070000,395372000,90083000,73858000,98321000,124103000,568959000,6573670,3105178,3468492,923161,737751,822200,998161,1202132,1890265,1598804,1332804,807438,837294,1162572,834755,929623,917327,915479,917004,923807,979972,990456
